address,company,detail,position
成都,"
迈瑞
",本科以上 | 3年以上 | 全职 | 15.6-22.1万元,销售
呼和浩特,"
迈瑞
",本科以上 | 3年以上 | 全职 | 12.0-18.0万元,销售工程师
深圳,"
迈瑞
",本科以上 | 3年以上 | 全职,物料技术质量认证工程师
广州,"
乐有家
",全职 | 0.6-1万/月,天河员村 东圃 行政文员 人事助理
广州,"
乐有家
",大专以上 | 1年经验 | 全职 | 6-8千/月,广州5k+诚聘人事行政专员
重庆,"
乐有家
",大专以上 | 实习 | 6-8千/月,底薪4800+业务精英 管培双向培养
广州,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 6-8千/月,广州诚聘销售管理底薪6400
东莞,"
乐有家
",实习 | 6-8千/月,置业顾问
郑州,"
乐有家
",大专以上 | 实习 | 6-8千/月,毕业*乐有家 大学生团队
郑州,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 6-8千/月,乐有家高薪酬高福利+零成本创业平台
郑州,"
乐有家
",大专以上 | 实习 | 6-8千/月,高薪诚聘营销储干 五险 导师一对一带教
郑州,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 6-8千/月,储备干本科5000+ 培训带教
开封,"
乐有家
",大专以上 | 实习 | 6-8千/月,诚聘营销储备干部
郑州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,销售储备干部 无责4000+
郑州,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 0.8-1万/月,实习就来乐有家 高薪酬 晋升快
郑州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,乐有家高薪诚聘房产销售实习生
郑州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,高薪营销储干+导师带教+住宿
郑州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,未来不设限 乐有家营销管培生
长沙,"
三一重工
",本科以上 | 3年以上 | 全职,计算机教师
北京,"
三一重工
",本科以上 | 3年以上 | 全职,数据挖掘工程师
苏州,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-30.0万元,发动机工程师
深圳,"
三一重工
",本科以上 | 3年以上 | 全职,出纳
北京,"
三一重工
",本科以上 | 5年以上 | 全职,培训经理
北京,"
三一重工
",硕士以上 | 5年以上 | 全职,5G无线网络工程师
长沙,"
三一重工
",本科以上 | 全职 | 19.2-38.4万元,电气研发工程师
广州,"
三一重工
",本科以上 | 全职 | 32.0-64.0万元,智能驾驶研发工程师
北京,"
三一重工
",本科以上 | 全职,员工关系经理
长沙,"
三一重工
",本科以上 | 3年以上 | 全职 | 12.0-24.0万元,品类经理
长沙,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-21.6万元,暖通设计师
苏州,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-24.0万元,产品经理
长沙,"
三一重工
",本科以上 | 全职,工作助理
北京,"
三一重工
",本科以上 | 5年以上 | 全职,组织发展经理
--,"
三一重工
",本科以上 | 3年以上 | 全职 | 36.0-48.0万元,沙特造价工程师
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,15571-游戏高级技术策划
武汉,"
腾讯
",本科以上 | 全职 | 18.0-30.0万元,aPaas基础平台后台开发
北京,"
腾讯
",本科以上 | 5年以上 | 全职,25663-泛文娱行业解决方案专家
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 20000-40000元,TME-全民K歌国际版后台开发工程师
武汉,"
腾讯
",本科以上 | 全职 | 18.0-30.0万元,腾讯云游戏解决方案后台开发
深圳,"
腾讯
",本科以上 | 1年以上 | 全职,PCG19-腾讯视频GOC后台工程师
广州,"
腾讯
",本科以上 | 2年以上 | 全职,WXG08-医疗搜索产品经理
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,15605-火影忍者 忍者新世代手游战斗策划
深圳,"
腾讯
",本科以上 | 2年以上 | 全职,PCG22-渠道拓展
深圳,"
腾讯
",3年以上 | 全职,35605-数据科学家
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,28601-微信支付保险行业运营经理
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,PCG19-腾讯视频电商产品经理
深圳,"
腾讯
",本科以上 | 5-10年 | 全职 | 25000-50000元,云安全产品运营专家
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,15571-UE4写实军事大世界射击手游客户端开发
广州,"
腾讯
",本科以上 | 5年以上 | 全职,CSIG08-产品架构师
广州,"
阿里
",本科以上 | 1-3年 | 全职 | 6000-10000元,松果公益-资深课程文案编辑
淄博,"
阿里
",本科以上 | 4年以上 | 全职 | 24.0-36.0万元,阿里零售通事业部-城市经理
杭州,"
阿里
",3年以上 | 全职,零售通-商家解决方案专家 -杭州
杭州,"
阿里
",本科以上 | 7年以上 | 全职,菜鸟-精益管理
深圳,"
阿里
",本科以上 | 5年以上 | 全职 | 30.0-52.5万元,阿里游戏-Unity3D客户端开发工程专家
杭州,"
阿里
",本科以上 | 1年以上 | 全职 | 32.0-64.0万元,蚂蚁金服-国内资金数据研发工程师架构师
杭州,"
阿里
",5年以上 | 全职,淘宝-直播-pgc机构运营专家
杭州,"
阿里
",3年以上 | 全职,淘宝-服务市场-市场营销专家
杭州,"
阿里
",5年以上 | 全职,天猫淘宝海外-端外分销产品运营
杭州,"
阿里
",5年以上 | 全职,菜鸟-报价研究资深专员
杭州,"
阿里
",5年以上 | 全职,政务钉钉事业部-资深技术架构师-杭州
杭州,"
阿里
",5年以上 | 全职,设计事业部-创意设计专家-天猫品牌营销
杭州,"
阿里
",5年以上 | 全职,阿里文娱优酷-商务BD专家
广州,"
阿里
",3年以上 | 全职,阿里文娱互动娱乐事业部-业务风控运营专家-WY
杭州,"
阿里
",5年以上 | 全职,业务平台事业部-店铺产品专家-杭州
杭州,"
华为
",本科以上 | 5年以上 | 全职,高级软件工程师
上海,"
华为
",本科以上 | 全职,本地化项目助理
深圳,"
华为
",硕士以上 | 10年以上 | 全职,云节能科学家
深圳,"
华为
",本科以上 | 4年以上 | 全职 | 24-48万,FPGAASIC验证高级工程师
上海,"
华为
",本科以上 | 4年以上 | 全职,涉外知识产权工程师
深圳,"
华为
",本科以上 | 1年以上 | 全职 | 16.8-25.2万元,商品运营
北京,"
华为
",本科以上 | 5年以上 | 全职,解决方案销售资深产品经理-797997789899
上海,"
华为
",本科以上 | 全职 | 30.0-48.0万元,人工智能与边缘计算控制器软件
杭州,"
华为
",全职 | 18.0-36.0万元,底层软件开发工程师
东莞,"
华为
",本科以上 | 15年以上 | 全职,芯片板级工程技术专家
东莞,"
华为
",大专以上 | 5年以上 | 全职,java软件开发
东莞,"
华为
",本科以上 | 1年以上 | 全职 | 12.0-24.0万元,华为德科联合招聘-5G MEP生态工具链研发工程师
广州,"
华为
",硕士以上 | 3年以上 | 全职 | 48.0-84.0万元,网络安全专家
广州,"
华为
",中技以上 | 8年以上 | 全职 | 12.0-15.6万元,磨床技师
东莞,"
华为
",中技以上 | 8年以上 | 全职 | 12.0-15.6万元,铣床技师
